member_casual,day_of_week,total_rides,avg_ride_length
casual,Sun,359361,21.920776143395216
casual,Mon,244718,19.073449879182395
casual,Tue,234386,16.504314443481007
casual,Wed,236046,15.770032595132482
casual,Thu,266552,16.572798151581498
casual,Fri,322641,18.463071052857874
casual,Sat,431713,21.19587563373893
member,Sun,414252,13.245045004214408
member,Mon,527120,11.84178902381237
member,Tue,592393,11.650818540535063
member,Wed,594277,11.571944167114593
member,Thu,601359,11.624798556023794
member,Fri,548558,11.99416660447506
member,Sat,469402,13.186116626968985
